StreamID: 289
Parameters: FLOW_OUTcms, ORGN_OUTkg
Dates: 01/01/2001 - 12/31/2015



UTCoffset(sec)   Date(m/d/y)   FLOW_OUTcms   ORGN_OUTkg
1022025600       5/22/2002     13.63         0.0          
1022112000       5/23/2002     66.03         25.31        
1022198400       5/24/2002     133.1         99.09        
1022284800       5/25/2002     133.8         11.89        
1022371200       5/26/2002     131.4         2.985        
1022457600       5/27/2002     132.6         0.861        
1022544000       5/28/2002     124.2         0.2586       
1022630400       5/29/2002     424.7         1393.0       
1022716800       5/30/2002     230.4         162.1        
1022803200       5/31/2002     213.6         45.4         
1022889600       6/1/2002      195.7         13.14        
1022976000       6/2/2002      179.8         4.021        
1023062400       6/3/2002      165.4         1.259        
1023148800       6/4/2002      154.4         0.3957       
1023235200       6/5/2002      179.1         35.46        
1023321600       6/6/2002      163.5         2.818        
1023408000       6/7/2002      263.8         164.8        
1023494400       6/8/2002      242.5         36.54        
1023580800       6/9/2002      232.3         6.968        
1023667200       6/10/2002     280.4         96.37        
1023753600       6/11/2002     239.7         7.544        
1023840000       6/12/2002     221.3         1.046        
1023926400       6/13/2002     279.0         105.7        
1024012800       6/14/2002     241.6         15.3         
1024099200       6/15/2002     229.2         2.146        
1024185600       6/16/2002     229.1         8.473        
1024272000       6/17/2002     270.9         76.87        
1024358400       6/18/2002     247.3         16.37        
1024444800       6/19/2002     244.9         10.98        
1024531200       6/20/2002     242.1         6.818        
1024617600       6/21/2002     236.2         4.204        
1024704000       6/22/2002     218.2         0.4883       
1024790400       6/23/2002     323.2         144.2        
1024876800       6/24/2002     242.9         11.8         
1024963200       6/25/2002     438.0         775.6        
1025049600       6/26/2002     524.4         643.6        
1025136000       6/27/2002     355.5         92.89        
1025222400       6/28/2002     324.8         22.48        
1025308800       6/29/2002     314.3         12.23        
1025395200       6/30/2002     293.4         2.417        
1025481600       7/1/2002      291.9         14.78        
1025568000       7/2/2002      264.4         1.486        
1025654400       7/3/2002      261.3         13.65        
1025740800       7/4/2002      237.4         1.344        
1025827200       7/5/2002      427.4         637.6        
1025913600       7/6/2002      346.9         162.9        
1026000000       7/7/2002      288.0         20.14        
1026086400       7/8/2002      269.3         4.401        
1026172800       7/9/2002      297.7         57.6         
1026259200       7/10/2002     258.3         4.907        
1026345600       7/11/2002     246.1         2.407        
1026432000       7/12/2002     228.6         0.3068       
1026518400       7/13/2002     209.5         0.0466       
1026604800       7/14/2002     199.6         0.5106       
1026691200       7/15/2002     217.2         24.31        
1026777600       7/16/2002     301.4         197.8        
1026864000       7/17/2002     241.7         15.88        
1026950400       7/18/2002     225.6         2.281        
1027036800       7/19/2002     216.5         0.5361       
1027123200       7/20/2002     371.5         432.2        
1027209600       7/21/2002     292.0         66.98        
1027296000       7/22/2002     261.3         10.09        
1027382400       7/23/2002     243.1         2.092        
1027468800       7/24/2002     225.0         0.5125       
1027555200       7/25/2002     206.4         0.1409       
1027641600       7/26/2002     188.3         0.04174      
1027728000       7/27/2002     186.8         15.25        
1027814400       7/28/2002     192.3         17.47        
1027900800       7/29/2002     184.9         2.816        
1027987200       7/30/2002     222.1         51.65        
1028073600       7/31/2002     230.6         28.48        
1028160000       8/1/2002      243.6         32.14        
1028246400       8/2/2002      236.7         4.999        
1028332800       8/3/2002      232.1         1.238        
1028419200       8/4/2002      238.8         11.58        
1028505600       8/5/2002      295.3         87.27        
1028592000       8/6/2002      259.9         8.972        
1028678400       8/7/2002      242.8         1.193        
1028764800       8/8/2002      226.3         0.1714       
1028851200       8/9/2002      229.6         12.1         
1028937600       8/10/2002     215.6         1.194        
1029024000       8/11/2002     222.8         9.714        
1029110400       8/12/2002     351.9         311.5        
1029196800       8/13/2002     583.9         1093.0       
1029283200       8/14/2002     372.9         162.1        
1029369600       8/15/2002     325.6         34.39        
1029456000       8/16/2002     301.0         9.212        
1029542400       8/17/2002     396.6         173.4        
1029628800       8/18/2002     319.5         16.81        
1029715200       8/19/2002     295.8         2.685        
1029801600       8/20/2002     272.6         0.5215       
1029888000       8/21/2002     250.8         0.1192       
1029974400       8/22/2002     293.0         65.43        
1030060800       8/23/2002     473.4         426.4        
1030147200       8/24/2002     331.0         55.78        
1030233600       8/25/2002     297.2         10.9         
1030320000       8/26/2002     295.9         12.98        
1030406400       8/27/2002     307.3         14.86        
1030492800       8/28/2002     312.7         42.92        
1030579200       8/29/2002     280.2         3.737        
1030665600       8/30/2002     271.4         3.264        
1030752000       8/31/2002     268.8         5.942        
1030838400       9/1/2002      322.6         57.11        
1030924800       9/2/2002      269.5         4.673        
1031011200       9/3/2002      262.7         3.364        
1031097600       9/4/2002      247.7         0.4022       
1031184000       9/5/2002      248.4         2.436        
1031270400       9/6/2002      238.8         1.112        
1031356800       9/7/2002      225.8         0.1318       
1031443200       9/8/2002      218.9         0.355        
1031529600       9/9/2002      207.6         0.03695      
1031616000       9/10/2002     192.2         0.0          
1031702400       9/11/2002     180.2         0.0          
1031788800       9/12/2002     170.2         0.0          
1031875200       9/13/2002     170.6         0.7959       
1031961600       9/14/2002     171.8         0.569        
1032048000       9/15/2002     462.7         322.6        
1032134400       9/16/2002     272.3         37.55        
1032220800       9/17/2002     244.4         9.312        
1032307200       9/18/2002     230.1         2.662        
1032393600       9/19/2002     216.9         0.7961       
1032480000       9/20/2002     239.2         25.66        
1032566400       9/21/2002     215.9         2.317        
1032652800       9/22/2002     200.0         0.3301       
1032739200       9/23/2002     187.0         0.05208      
1032825600       9/24/2002     172.3         0.0          
1032912000       9/25/2002     157.7         0.0          
1032998400       9/26/2002     144.4         0.0          
1033084800       9/27/2002     164.6         8.239        
1033171200       9/28/2002     201.3         27.37        
1033257600       9/29/2002     189.5         2.459        
1033344000       9/30/2002     182.2         0.3343       
1033430400       10/1/2002     175.0         0.04866      
1033516800       10/2/2002     167.6         0.0          
1033603200       10/3/2002     171.1         0.422        
1033689600       10/4/2002     160.6         0.03996      
1033776000       10/5/2002     218.1         34.1         
1033862400       10/6/2002     249.1         47.31        
1033948800       10/7/2002     217.8         4.102        
1034035200       10/8/2002     205.9         0.5647       
1034121600       10/9/2002     193.0         0.08192      
1034208000       10/10/2002    179.0         0.0          
1034294400       10/11/2002    164.8         0.0          
